Unnamed: 0,Text,Aspect,Explanations,Cleaned_Text,Reconstruction_Error,Is_Anomaly,Cluster
54,"I have been unemployed since December and I was holding on until I got my tax refund so I could see my psychiatrist for new meds, fixing my car, anything until I can get another job",1,have been unemployed,unemployed since december holding got tax refund could see psychiatrist new med fixing car anything get another job,0.0009999999999998602,True,0
76,"This morning I spent about 3 hours straight crying, shaking and twitching",4,crying,morning spent 3 hour straight cry shaking twitching,0.0009999999999992226,True,1
98,"I was hoping I wouldn't feel like complete shit because I started Prozac a couple months ago, but here I am!",1,Prozac,hoping would n't feel like complete shit started prozac couple month ago,0.0009999999999989577,True,1
116,"I have a medical condition that causes me to faint whenever I experience shock or stress,After much anticipation of going back of school due to loneliness,NO ONE even mentioned it,even though before the holidays I fainted in front of everyone,No one even asked me If I was ok,Not only that,NO ONE has tried to help me with my psychological problems,everyone is just repelled away from me as ""I'm an asshole"",even though no one has seen the true story of me yet,fuck you,teacher,I will heat up a razor-bladed drill bit,and shove it up your sorry ass if I could",1,medical condition,medical condition cause faint whenever experience shock stress much anticipation going back school due loneliness one even mentioned even though holiday fainted front everyone one even asked ok one tried help psychological problem everyone repelled away `` 'm asshole '' even though one seen true story yet fuck teacher heat razor-bladed drill bit shove sorry as could,0.000999999999999976,True,0
124,"It's not an upset stomach, it just feels unwell, and it changes my mood because it's all I can focus on",1,feels unwell,'s upset stomach feel unwell change mood 's focus,0.0009999999999998708,True,0
129,"Well it did, to the point where any pressure on my stomach caused me pain and I would have to just lay down until the upset stomach subsided",1,upset stomach,well point pressure stomach caused pain would lay upset stomach subsided,0.0009999999999999376,True,0
139,My meds are fucked I'm a month out from seeing my doctor to get them fixed I see my therapist soon but he can't prescribe shit,1,"meds are fucked, I'm a month out from seeing my doctor to get them fixed",med fucked 'm month seeing doctor get fixed see therapist soon ca n't prescribe shit,0.0009999999999999428,True,0
165,"I'm on my 4th antidepressant (zoloft, wellbutrin, lexapro, effexor) now with no success",1,"antidepressant (zoloft, wellbutrin, lexapro, effexor)",'m 4th antidepressant zoloft wellbutrin lexapro effexor success,0.0009999999999997745,True,0
169,"But it's 4:45am on jan 1st now and I'm drunk as hell because I ran out of weed so I couldn't sleep and now I'm suicidal as well and I can't help but feeling like 2018 is going to be a whole other year of drugs and booze and depression and it's like, what's the point? Why don't I just end it now? I just want to die lmfao I can't even bring in the new year right, I've screwed everything?? Fuck Where do I even go from here?",1,"drunk as hell, weed",'s 4:45am jan 1st 'm drunk hell ran weed could n't sleep 'm suicidal well ca n't help feeling like 2018 going whole year drug booze depression 's like 's point n't end want die lmfao ca n't even bring new year right 've screwed everything fuck even go,0.0009999999999990945,True,1
171,"Plus, just took a ritalin pill so I'll be fucked after the ride",1,just took a ritalin pill,plus took ritalin pill 'll fucked ride,0.0009999999999997932,True,0
