Unnamed: 0,Text,Aspect,Explanations,Cleaned_Text,Reconstruction_Error,Is_Anomaly
0,Once it happens there is no going back and you are stuck in an empty void of darkness forever,4,empty void of darkness,happens going back stuck empty void darkness forever,0.0009999999986272422,False
1,Now i am filled with guilt and stuck feeling like crap,4,filled with guilt and stuck feeling like crap,filled guilt stuck feeling like crap,0.0009999999998225677,False
2,And i got home and the voices returned and kept telling me i was piece of shit,4,piece of shit,got home voice returned kept telling piece shit,0.0009999999996038837,False
3,"Before her I survived since shit, sexual assaults and the like",1,sexual assaults,survived since shit sexual assault like,0.0009999999978264793,False
4,"I feel like there are only three things that you absolutely cannot be, dumb, ugly, and useless",1,"ugly, dumb, and useless",feel like three thing absolutely dumb ugly useless,0.0009999999994972958,False
5,"I've gotten through life fairly well being able to somewhat accept the dumb and ugly part, I tried to blame it on other factors for a while but they're just an integral part of who I am",1,"ugly, dumb",'ve gotten life fairly well able somewhat accept dumb ugly part tried blame factor 're integral part,0.0009999999973095304,False
6,"I seem to have a big inferiority complex Today in class we were doing little clay figures that represented something to us, while everyone else's looked beautiful and detailed, mine was all desfigured and ugly, while everyone's had a meaning behind them, mine was ""hurr duuurr i like octopus"" Why cant i be the best in something for once?? I felt so embarrassdd when it was my turn to talk about my model, all i wanted to do was say ""sorry teacher but im a talentless piece of shit"" Im petty, im pathetic, i dont want to be but i cant help but feel this way",1,mine was all desfigured and ugly,seem big inferiority complex today class little clay figure represented something u everyone else 's looked beautiful detailed mine desfigured ugly everyone 's meaning behind mine `` hurr duuurr like octopus '' cant best something felt embarrassdd turn talk model wanted say `` sorry teacher im talentless piece shit '' im petty im pathetic dont want cant help feel way,0.0009999999994321752,False
7,"Ive been fired from the last 5 jobs, all for reasons of using marijuana to calm myself from my co workers, or outright having a verbal confrontation which results in me getting fired",1,all for reasons of using marijuana,ive fired last 5 job reason using marijuana calm co worker outright verbal confrontation result getting fired,0.0009999999999566113,False
8,"I have a big nose, big forehead, big everything and it‚Äôs so hard to deal with",1,big forehead,big nose big forehead big everything it⊚Öôs hard deal,0.00099999999919594,False
9,"I hate my skin color, i hate my body, i hate how i cant lose weight, i hate how anti-social i am, i hate how dumb i am, i hate my anxiety, i hate how i can make other people laugh but not myself, i hate how lonely i am",1,"i hate my body, i hate my anxiety",hate skin color hate body hate cant lose weight hate anti-social hate dumb hate anxiety hate make people laugh hate lonely,0.000999999999699782,False
10,"the way thinking about dying is so painful but just makes you feel more tired, like you just want it to happen",1,feel more tired,way thinking dying painful make feel tired like want happen,0.0009999999999225533,False
11,"The rejection, the leaving, the being ignored, the being bullied and made fun of",1,"rejection, the being ignored",rejection leaving ignored bullied made fun,0.0009999999999754125,False
12,"Don‚Äôt usually drink, but do you ever feel so useless and depressed you just want to drink yourself into oblivion?",1,"drink yourself into oblivion, feel so useless",don⊚Öôt usually drink ever feel useless depressed want drink oblivion,0.000999999999926845,False
13,"I'm 23, I have a worthless ass history degree, no physical attraction whatsoever, no real job, no social life, and no hope of getting out of the US because fuck this country",1,"no physical attraction, no real job, no social life, worthless",'m 23 worthless as history degree physical attraction whatsoever real job social life hope getting u fuck country,0.0009999999998959203,False
