Unnamed: 0,Text,Aspect,Explanations,Cleaned_Text,Reconstruction_Error,Is_Anomaly,Cluster,Sentiment_Score,Sentiment_Category
42,"My recruiter told me it should be okay (I haven‚Äôt been officially diagnosed), but if I go on meds I won‚Äôt have a chance",1,but if I go on meds I won‚Äôt have a chance,recruiter told okay haven⊚Öôt officially diagnosed go med won⊚Öôt chance,0.00099999992001992,True,0,0.4497,Positive
76,"This morning I spent about 3 hours straight crying, shaking and twitching",4,crying,morning spent 3 hour straight cry shaking twitching,0.0009999999733027428,True,1,-0.4404,Negative
82,"I'm not a homeless, heavy drug addict",1,heavy drug addict,'m homeless heavy drug addict,0.0009999998581354827,True,2,0.0,Neutral
116,"I have a medical condition that causes me to faint whenever I experience shock or stress,After much anticipation of going back of school due to loneliness,NO ONE even mentioned it,even though before the holidays I fainted in front of everyone,No one even asked me If I was ok,Not only that,NO ONE has tried to help me with my psychological problems,everyone is just repelled away from me as ""I'm an asshole"",even though no one has seen the true story of me yet,fuck you,teacher,I will heat up a razor-bladed drill bit,and shove it up your sorry ass if I could",1,medical condition,medical condition cause faint whenever experience shock stress much anticipation going back school due loneliness one even mentioned even though holiday fainted front everyone one even asked ok one tried help psychological problem everyone repelled away `` 'm asshole '' even though one seen true story yet fuck teacher heat razor-bladed drill bit shove sorry as could,0.000999999848436531,True,2,-0.0258,Neutral
124,"It's not an upset stomach, it just feels unwell, and it changes my mood because it's all I can focus on",1,feels unwell,'s upset stomach feel unwell change mood 's focus,0.0009999998951663218,True,0,0.2924,Positive
129,"Well it did, to the point where any pressure on my stomach caused me pain and I would have to just lay down until the upset stomach subsided",1,upset stomach,well point pressure stomach caused pain would lay upset stomach subsided,0.0009999998284552383,True,2,-0.7184,Negative
139,My meds are fucked I'm a month out from seeing my doctor to get them fixed I see my therapist soon but he can't prescribe shit,1,"meds are fucked, I'm a month out from seeing my doctor to get them fixed",med fucked 'm month seeing doctor get fixed see therapist soon ca n't prescribe shit,0.0009999999544848543,True,1,0.2928,Positive
151,"The only joy I get is from sex, drugs, and alcohol and only those are temporary",1,"drugs, alcohol, only joy I get is from sex",joy get sex drug alcohol temporary,0.0009999998883064233,True,0,0.5859,Positive
171,"Plus, just took a ritalin pill so I'll be fucked after the ride",1,just took a ritalin pill,plus took ritalin pill 'll fucked ride,0.0009999998159622688,True,2,-0.6872,Negative
191,Ive recently had the alpha stim bought for me by a parent,1,alpha stim bought for me by a parent,ive recently alpha stim bought parent,0.0009999999446386437,True,1,0.0,Neutral
195,"Everything was going fine until I started sweating buckets, getting an intense itch, throwing up, and falling in and out of consciousness",1,"getting an intense itch, and falling in and out of consciousness",everything going fine started sweating bucket getting intense itch throwing falling consciousness,0.0009999998593109621,True,2,0.128,Positive
196,"About a month ago, I was moderately depressed but a video triggered what I thought was euphoria in me",1,euphoria,month ago moderately depressed video triggered thought euphoria,0.000999999943912202,True,1,0.7003,Positive
202,We were all kind of drunk and my boyfriend's friend asked a friend of mine if he take a shot from her belly button and she said no,1,drunk,kind drunk boyfriend 's friend asked friend mine take shot belly button said,0.0009999998495434056,True,2,0.3626,Positive
222,"I‚Äôve always been depressed feeling and I self harmed when I was a teenager, but it was never like this",1,self harmed,i⊚Öôve always depressed feeling self harmed teenager never like,0.000999999817586111,True,2,-0.6823,Negative
242,"For about a year and a half now, I've been having these really bad headaches that usually last for days",1,headaches,year half 've really bad headache usually last day,0.000999999888313681,True,0,-0.5849,Negative
277,I feel like such a fat and ugly slob and I want to cry every time I look in the mirror,1,feel like such a fat and ugly slob,feel like fat ugly slob want cry every time look mirror,0.0009999999937058495,True,1,-0.5574,Negative
